"","id","cohort","sex","treatment","age0_mature","age1_mature","age2_mature","age3_mature","age4_mature","age_at_mature","repeatspawn","spawning_strategy"
"1","RRRR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"2","RRRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"3","RRRY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"4","RRRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"5","RRGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"6","RRGY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"7","RRGG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"8","RRYR",2015,"male","early",1,1,NA,NA,NA,"0",2,"iteroparity"
"9","RRYG",2014,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"10","RRGD",2014,"female","early",NA,0,0,NA,NA,">2",0,NA
"11","RRYY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"12","RRYD",2014,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"13","RRDR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"14","RRDG",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"15","RRDY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"16","RRDD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"17","RGRR",2014,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"18","RGRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"19","RGRY",2014,"male","early",NA,1,1,NA,NA,"1",2,"iteroparity"
"20","RGRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"21","RGGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"22","RGGG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"23","RGGY",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"24","RGGD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"25","RGYR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"26","RGYG",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"27","RGYY",2014,NA,NA,NA,0,NA,NA,NA,">1",0,NA
"28","RGYD",2014,"female",NA,NA,0,NA,1,NA,"3?",1,"semelparity"
"29","RGDR",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"30","RGDG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"31","RGDY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"32","RGDD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"33","RYRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"34","RYRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"35","RYRY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"36","RYRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"37","RYGR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"38","RYGG",2015,"female",NA,NA,1,1,NA,NA,"1",2,"iteroparity"
"39","RYGY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"40","RYYR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"41","RYGD",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"42","RYYG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"43","RYYY",2014,NA,"early",NA,NA,0,NA,NA,">2?",0,NA
"44","RYYD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"45","RYDR",2014,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"46","RYDG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"47","R",2015,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"48","G",2015,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"49","Y",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"50","D",2015,"male",NA,0,0,NA,NA,NA,">1",0,NA
"51","RYDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"52","RYDD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"53","RDRR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"54","RDRG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"55","RDRY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"56","RDRD",2014,"male",NA,NA,NA,NA,1,NA,"3?",1,"semelparity"
"57","RDGR",2014,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"58","RDGG",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"59","RDGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"60","RDGD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"61","RDYR",2015,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"62","RDYG",2015,"male","late",0,0,NA,NA,NA,">1",0,NA
"63","RDYY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"64","RDYD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"65","RDDR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"66","RDDG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"67","RDDY",2014,"female","late",NA,1,NA,NA,NA,"1",1,"semelparity"
"68","RDDD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"69","tailR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"70","tailG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"71","tailY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"72","GRRR",2014,"male","late",NA,1,NA,NA,NA,"1",1,"semelparity"
"73","GRRG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"74","GRRY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"75","GRRD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"76","GRGR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"77","GRGG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"78","GRGY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"79","GRGD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"80","GRYR",2014,"male","late",NA,0,1,NA,NA,"2",1,"semelparity"
"81","GRYG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"82","GRYY",2015,"male","late",NA,NA,1,NA,NA,"2?",1,"semelparity"
"83","GRYD",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"84","GRDR",2014,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"85","GRDG",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"86","tailD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"87","branchindlR",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"88","branchndlG",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"89","branchindlY",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
