"","param","mean","sd","lower","median","upper","Rhat","n.eff","x","group","occasion","CL","TR","MT","id","date","treatment","growth","age1_mature","n"
"1","phi[1,4]",0.968478564,0.1030619527287,0.78114505,1,1,1.04,294,"[1,4]",1,4,1,1,"0",110,2018-07-26,"control","1","0","3"
"2","phi[2,4]",0.803508567873333,0.270359221038076,0.259284,0.9948885,1,1.38,131,"[2,4]",2,4,1,1,"1",111,2018-07-26,"control","1","1","9"
"3","phi[3,4]",0.959783156666666,0.119969683044659,0.70973345,1,1,1.06,401,"[3,4]",3,4,1,2,"0",120,2018-07-26,"early","1","0","n = 4"
"4","phi[4,4]",2.14152328001403e-05,0.000668936124275529,0,0,0,1.29,1500,"[4,4]",4,4,1,2,"1",121,2018-07-26,"early","1","1","14"
"5","phi[5,4]",0.080257138689146,0.267521502057528,0,0,1,1.23,622,"[5,4]",5,4,1,3,"0",130,2018-07-26,"late","1","0","1"
"6","phi[6,4]",0.0321940032562314,0.13644169140526,0,0,0.20691515,1.15,173,"[6,4]",6,4,1,3,"1",131,2018-07-26,"late","1","1","9"
"7","phi[7,4]",0.980595139333333,0.0749983277705591,0.8669235,1,1,1.06,366,"[7,4]",7,4,2,1,"0",210,2018-07-26,"control","2","0","17"
"8","phi[8,4]",0.965530743666667,0.122218190632131,0.7719314,1,1,1.01,620,"[8,4]",8,4,2,1,"1",211,2018-07-26,"control","2","1","2"
"9","phi[9,4]",0.986347933333333,0.0460469650177639,0.90358215,1,1,1.04,506,"[9,4]",9,4,2,2,"0",220,2018-07-26,"early","2","0","8"
"10","phi[10,4]",0.83909941372,0.258194853218649,0.2560914,0.9993705,1,1.05,55,"[10,4]",10,4,2,2,"1",221,2018-07-26,"early","2","1","6"
"11","phi[11,4]",0.96818685,0.0813742978923643,0.76394385,0.999998,1,1.08,121,"[11,4]",11,4,2,3,"0",230,2018-07-26,"late","2","0","19"
"12","phi[12,4]",0.985222874666667,0.0502158106104957,0.91046345,1,1,1.03,250,"[12,4]",12,4,3,1,"0",310,2018-07-26,"control","3","0","17"
"13","phi[13,4]",0.97896752,0.0728845241261612,0.86155635,1,1,1.1,394,"[13,4]",13,4,3,2,"0",320,2018-07-26,"early","3","0","7"
"14","phi[14,4]",0.0635278227967422,0.240087369057446,0,0,0.99890995,1.1,294,"[14,4]",14,4,3,2,"1",321,2018-07-26,"early","3","1","1"
"15","phi[15,4]",0.978757204666667,0.0735241339543414,0.8555838,1,1,1.03,337,"[15,4]",15,4,3,3,"0",330,2018-07-26,"late","3","0","6"
