"","param","mean","sd","lower","median","upper","Rhat","n.eff","x","group","occasion","CL","TR","MT","id","date","treatment","growth","age1_mature","n"
"1","phi[1,8]",0.00140421733333336,0.0348150869125825,0,0,0,1.26,1000,"[1,8]",1,8,1,1,"0",110,2018-07-25,"control","1","0","1"
"2","phi[2,8]",0.0451379970852147,0.159260667262745,0,0,0.3932006,1,366,"[2,8]",2,8,1,1,"1",111,2018-07-25,"control","1","1","3"
"3","phi[3,8]",0.000316707831243027,0.00656126055990118,0,0,9.98308799999218e-193,1.23,1219,"[3,8]",3,8,1,2,"1",121,2018-07-25,"early","1","1","8"
"4","phi[4,8]",0.000370000219950136,0.00618812959035822,0,0,1.28841536058383e-150,1.2,1305,"[4,8]",4,8,1,3,"1",131,2018-07-25,"late","1","1","5"
"5","phi[5,8]",0.532276278133333,0.163243670082239,0.2715236,0.5294255,0.80699515,1.02,809,"[5,8]",5,8,2,1,"0",210,2018-07-25,"control","2","0","10"
"6","phi[6,8]",0.315946476286667,0.171013994810309,0.07840468,0.292521,0.6407998,1.06,562,"[6,8]",6,8,2,1,"1",211,2018-07-25,"control","2","1","8"
"7","phi[7,8]",0.635012889666667,0.224141758893125,0.28400345,0.6171375,0.9997333,1.01,67,"[7,8]",7,8,2,2,"0",220,2018-07-25,"early","2","0","9"
"8","phi[8,8]",0.161244251780667,0.123994261240699,0.01447461,0.132156,0.40894475,1,1012,"[8,8]",8,8,2,2,"1",221,2018-07-25,"early","2","1","8"
"9","phi[9,8]",0.428623464133333,0.171108357628221,0.159609,0.42123,0.71595285,1.01,335,"[9,8]",9,8,2,3,"0",230,2018-07-25,"late","2","0","8"
"10","phi[10,8]",0.038645806517391,0.123089370317636,0,0,0.3472336,1.02,665,"[10,8]",10,8,2,3,"1",231,2018-07-25,"late","2","1","4"
"11","phi[11,8]",0.376713978,0.136336673751426,0.19192265,0.352278,0.64588255,1.02,172,"[11,8]",11,8,3,1,"0",310,2018-07-25,"control","3","0","25"
"12","phi[12,8]",0.81626239,0.179373575692567,0.4693826,0.8543975,0.99999605,1.12,86,"[12,8]",12,8,3,2,"0",320,2018-07-25,"early","3","0","10"
"13","phi[13,8]",0.00339446067791224,0.032874875075945,0,0,3.5415344999996e-19,1.12,963,"[13,8]",13,8,3,2,"1",321,2018-07-25,"early","3","1","5"
"14","phi[14,8]",0.589380176,0.137594871888656,0.34548595,0.5956605,0.79682215,1.03,273,"[14,8]",14,8,3,3,"0",330,2018-07-25,"late","3","0","18"
