"","param","mean","sd","lower","median","upper","Rhat","n.eff","x","group","occasion","CO","MT","id","date","cohort","age2_maturity","year","month","age","n"
"1","phi[1,2]",1,0,1,1,1,NA,0,"[1,2]",1,2,1,"0",10,2020-10-01,"2019","0",2020,10,1,"n = 15"
"2","phi[2,2]",1,0,1,1,1,NA,0,"[2,2]",2,2,1,"1",11,2020-10-01,"2019","1",2020,10,1,"24"
"3","phi[1,3]",0.993246752666667,0.0251445399775237,0.964001,0.999992,1,1.01,1500,"[1,3]",1,3,1,"0",10,2021-10-05,"2019","0",2021,10,2,"n = 15"
"4","phi[2,3]",0.99572999,0.0149892536556028,0.9770875,0.999995,1,1.03,1500,"[2,3]",2,3,1,"1",11,2021-10-05,"2019","1",2021,10,2,"24"
"5","phi[3,3]",1,0,1,1,1,NA,0,"[3,3]",3,3,2,"0",20,2021-10-05,"2020","0",2021,10,1,"14"
"6","phi[4,3]",1,0,1,1,1,NA,0,"[4,3]",4,3,2,"1",21,2021-10-05,"2020","1",2021,10,1,"37"
"7","phi[1,4]",0.3558997674,0.143445865705457,0.1454907,0.344874,0.6155028,1,1500,"[1,4]",1,4,1,"0",10,2022-10-09,"2019","0",2022,10,3,"n = 15"
"8","phi[2,4]",0.116724272313333,0.072840464756824,0.026607455,0.101846,0.2620255,1,1586,"[2,4]",2,4,1,"1",11,2022-10-09,"2019","1",2022,10,3,"24"
"9","phi[3,4]",0.995370671333333,0.0153689598210799,0.97108925,0.999996,1,1.01,1500,"[3,4]",3,4,2,"0",20,2022-10-09,"2020","0",2022,10,2,"14"
"10","phi[4,4]",0.997905912666667,0.00717579639498698,0.98816655,0.999995,1,1,1500,"[4,4]",4,4,2,"1",21,2022-10-09,"2020","1",2022,10,2,"37"
"11","phi[5,4]",1,0,1,1,1,NA,0,"[5,4]",5,4,3,"0",30,2022-10-09,"2021","0",2022,10,1,"6"
"12","phi[6,4]",1,0,1,1,1,NA,0,"[6,4]",6,4,3,"1",31,2022-10-09,"2021","1",2022,10,1,"10"
"13","phi[1,5]",0.0015706412723604,0.0141270870426055,0,0,0.000524042099999996,1.09,1190,"[1,5]",1,5,1,"0",10,2023-10-13,"2019","0",2023,10,4,"n = 15"
"14","phi[2,5]",0.00214620640475128,0.0139644310651923,0,0,0.002427998,1.03,1261,"[2,5]",2,5,1,"1",11,2023-10-13,"2019","1",2023,10,4,"24"
"15","phi[3,5]",0.3694183922,0.143667062838621,0.1478216,0.356279,0.61591975,1,1622,"[3,5]",3,5,2,"0",20,2023-10-13,"2020","0",2023,10,3,"14"
"16","phi[4,5]",0.0392268654500667,0.0346080482528495,0.0031859605,0.02995095,0.1060595,1,1500,"[4,5]",4,5,2,"1",21,2023-10-13,"2020","1",2023,10,3,"37"
"17","phi[5,5]",0.98825076,0.0405709979183465,0.9276235,0.9999865,1,1.04,1500,"[5,5]",5,5,3,"0",30,2023-10-13,"2021","0",2023,10,2,"6"
"18","phi[6,5]",0.993584804666667,0.0256493869627501,0.9657963,0.999993,1,1.06,1362,"[6,5]",6,5,3,"1",31,2023-10-13,"2021","1",2023,10,2,"10"
"19","phi[1,6]",0.000331766909297629,0.0043422460189158,0,0,5.97662099999955e-18,1.11,1500,"[1,6]",1,6,1,"0",10,2024-10-11,"2019","0",2024,10,5,"n = 15"
"20","phi[2,6]",0.000494685454204899,0.0063008305369568,0,0,1.63094799999994e-12,1.15,1298,"[2,6]",2,6,1,"1",11,2024-10-11,"2019","1",2024,10,5,"24"
"21","phi[3,6]",0.00177843266935832,0.0121522843944585,0,0,0.0007161866,1.08,1440,"[3,6]",3,6,2,"0",20,2024-10-11,"2020","0",2024,10,4,"14"
"22","phi[4,6]",0.00307003825488294,0.0121213502523794,0,0,0.0237175549999999,1,1310,"[4,6]",4,6,2,"1",21,2024-10-11,"2020","1",2024,10,4,"37"
"23","phi[5,6]",0.276347419783333,0.219556874259964,0.025971465,0.226078,0.7225676,1.01,977,"[5,6]",5,6,3,"0",30,2024-10-11,"2021","0",2024,10,3,"6"
"24","phi[6,6]",0.1564353991,0.125489578373715,0.015483215,0.1226505,0.40573465,1,1587,"[6,6]",6,6,3,"1",31,2024-10-11,"2021","1",2024,10,3,"10"
